Feature,Importance
T7-P7_beta,0.0009632012440581087
FP1-F7_beta,0.0009583185597831271
P8-O2_alpha,0.0009246510093037206
F3-C3_mean,0.0009201573948803773
FZ-CZ_skew,0.0009148232457265908
C3-P3_delta,0.0009075039758210765
FP2-F4_mean,0.0008969231894913447
C3-P3_mean,0.0008919282957747462
FP2-F4_skew,0.0008879291441443458
FT9-FT10_mean,0.0008757271096512426
F8-T8_mean,0.0008715497268404217
P7-T7_gamma,0.0008527030568438024
C4-P4_mean,0.0008102212655943633
P7-T7_kurt,0.0008030765808933896
P4-O2_theta,0.000761574403109425
P3-O1_skew,0.0007591365867975887
P4-O2_delta,0.000758791364049759
F7-T7_beta,0.0007504824120713683
FP1-F3_mean,0.0007272772005736181
C3-P3_std,0.0007245559090411424
FT10-T8_mean,0.0007183092721271584
F8-T8_skew,0.0007162022406866539
C3-P3_kurt,0.0007036305017761035
C3-P3_theta,0.0006967778292464364
F4-C4_skew,0.0006861790029148163
P7-T7_skew,0.0006799277665303443
P8-O2_mean,0.00066448341978773
CZ-PZ_mean,0.0006637738840805968
P8-O2_std,0.0006456139207184612
P4-O2_mean,0.0006328072207567485
CZ-PZ_skew,0.0006310209137565055
P4-O2_skew,0.0006055297464108421
P3-O1_std,0.0005996845777379527
T8-P8-0_mean,0.0005779390817797382
T7-P7_mean,0.0005717717997037892
C4-P4_kurt,0.0005669366086508897
P7-O1_std,0.0005647558952091479
P8-O2_theta,0.0005473644307470022
T8-P8-1_mean,0.0004622400373674266
FP1-F7_skew,0.0004188060722648947
P3-O1_mean,0.00041500588188087933
T7-FT9_mean,0.00041354954961754926
P7-O1_mean,0.00040547677151761075
P3-O1_delta,0.0002891475989684174
